Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Metarolls Ispat Private Limited,Long Term Facilities,IVR A- (Reaffirmed),Stable,Rs. 220.00 Cr. (Reduced from Rs. 236.95 Cr.),"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-Metarolls-Ispat-6nov24.pdf
Metarolls Ispat Private Limited,Short Term Facilities,IVR A2+ (Reaffirmed),Nil,Rs. 48.00 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-Metarolls-Ispat-6nov24.pdf
Metarolls Ispat Private Limited,Proposed Short Term Facilities,IVR A2+ (Assigned),Nil,Rs. 22.00 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-Metarolls-Ispat-6nov24.pdf
R S Infrasolutions Private Limited,Long term Bank Facilities,IVR BB (Upgraded),Stable,Rs. 9.93 Cr. (Reduced from Rs.10.02 crore),"Nov 06, 2024",https://www.infomerics.com/admin/uploads/Pr-RS-Infrasolutions-06nov24.pdf
R S Infrasolutions Private Limited,Short term Bank Facilities,IVR A4 (Reaffirmed),Nil,Rs. 26.55 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/Pr-RS-Infrasolutions-06nov24.pdf
R S Infrasolutions Private Limited,Long term Bank Facilities - Proposed,IVR BB (Assigned),Stable,Rs. 1.59 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/Pr-RS-Infrasolutions-06nov24.pdf
R S Infrasolutions Private Limited,Short term Bank Facilities - Proposed,IVR A4 (Assigned),Nil,Rs. 4.50 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/Pr-RS-Infrasolutions-06nov24.pdf
Vinayak Support Services Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),Negative,Rs. 8.80 Cr.,"Nov 06, 2024",https://www.infomerics.com/admin/uploads/pr-Vinayak-SupportServices-6nov24.pdf
3S Minerals Processors Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 155.00 Cr.,"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-3SMPPL-5nov24.pdf
Bird Machines Limited,Long Term Bank Facility,IVR BB (Assigned),Stable,Rs. 22.37 Cr.,"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-Bird-Machines-5nov24.pdf
Fedora Sea Foods Private Limited,Long Term Fund Based Facilities - Term Loan,IVR BBB (INC)(Reaffirmed),Negative,Rs. 6.80 Cr. (Reduced from Rs. 21.57 crore),"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-Fedora-SeaFoods-5nov24.pdf
Fedora Sea Foods Private Limited,Long Term Fund Based Facilities - Cash Credit,IVR BBB (INC)(Reaffirmed),Negative,Rs. 40.00 Cr. (Increased from Rs. 39.00 crore),"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-Fedora-SeaFoods-5nov24.pdf
Fedora Sea Foods Private Limited,Long Term Fund Based Facilities - PC/PCFC,IVR BBB (INC)(Reaffirmed),Negative,Rs. 40.00 Cr.,"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-Fedora-SeaFoods-5nov24.pdf
Fedora Sea Foods Private Limited,Short Term Fund Based Facilities - Post Shipment/ Pre-Post Shipment,IVR A3+ (INC)(Reaffirmed),Nil,Rs. 70.00 Cr.,"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-Fedora-SeaFoods-5nov24.pdf
IRP Infra Tech Private Limited,Long term fund- based bank facilities - Cash Credit,IVR BB (INC)(Downgraded),Negative,Rs. 4.00 Cr.,"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-IRP-Infra-Tech-5nov24.pdf
IRP Infra Tech Private Limited,Long term Debt facilities - GECL,IVR BB (INC)(Downgraded),Negative,Rs. 0.98 Cr.,"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-IRP-Infra-Tech-5nov24.pdf
IRP Infra Tech Private Limited,Short term bank facilities - Bank Guarantee,IVR A4 (INC)(Downgraded),Nil,Rs. 36.00 Cr.,"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-IRP-Infra-Tech-5nov24.pdf
R R Constructions and Infrastructure India Private Limited,Long Term Bank Facilities,IVR BBB- (Downgraded),Stable,Rs. 27.00 Cr. (Enhanced from Rs. 26.50 Cr.),"Nov 05, 2024",https://www.infomerics.com/admin/uploads/pr-RR-Constructions-5nov24.pdf
