Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Shree Durga Syntex Private Limited,Non-Convertible Debentures - Proposed,Withdrawn,Nil,0.00,"Oct 09, 2025",https://www.infomerics.com/admin/uploads/pr-ShreeDurga-Syntex-9oct25.pdf
Shree Durga Syntex Private Limited,Non-Convertible Debentures - Proposed,IVR A (Assigned),Stable,Rs. 50.00 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-shreedurga-syntex-16sep25.pdf
Shri Mahavir Iron & Steel Private Limited,Long Term Bank Facilities,IVR BB+ (Assigned),Stable,Rs. 59.98 Cr. (includes proposed facility of Rs. 2.78 Cr.),"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-ShriMahavir-Iron-16sep25.pdf
Shri Mahavir Iron & Steel Private Limited,Short Term Bank Facility,IVR A4+ (Assigned),Nil,Rs. 0.02 Cr.,"Sep 16, 2025",https://www.infomerics.com/admin/uploads/pr-ShriMahavir-Iron-16sep25.pdf
Atal Realtech Limited,Long Term Bank Facilities - Cash Credit,IVR BB+ (Upgraded),Stable,Rs. 15.00 Cr. (Enhanced from Rs. 10.50 Cr.),"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-atal-realtech-15sep25.pdf
Atal Realtech Limited,Short Term Bank Facilities - Bank Guarantee,IVR A4+ (Upgraded),Nil,Rs. 15.00 Cr. (Enhanced from Rs. 14.00 Cr.),"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-atal-realtech-15sep25.pdf
Divine Motors Private Limited,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),Negative,Rs. 48.41 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-divine-motors-15sep25.pdf
GS Auto International Limited,Long Term Bank Facilities,IVR C- (INC)(Downgraded),Negative,Rs. 32.25 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-GSAuto-International-15sep25.pdf
GS Auto International Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),Nil,Rs. 5.50 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-GSAuto-International-15sep25.pdf
Indel Money Limited,Proposed Non-Convertible Debentures (NCDs) - Public Issue,IVR A- (Reaffirmed),Stable,Rs. 300.00 Cr.,"Sep 19, 2025",https://www.infomerics.com/admin/uploads/pr-indel-money-19sept25.pdf
Indel Money Limited,Proposed Non-Convertible Debentures (NCDs) - Public Issue,IVR A- (Assigned),Stable,Rs. 300.00 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-indel-money-15sept2025.pdf
Jaswant Singh Oberoi Construction Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 60.28 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/Pr-Jaswant-Singh-Oberoi-15sept25.pdf
Jaswant Singh Oberoi Construction Private Limited,Short Term Bank Facilities,IVR A3 (Assigned),Nil,Rs. 67.00 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/Pr-Jaswant-Singh-Oberoi-15sept25.pdf
Jaswant Singh Oberoi Construction Private Limited,Proposed Long Term Facilities,IVR BBB- (Assigned),Stable,Rs. 2.72 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/Pr-Jaswant-Singh-Oberoi-15sept25.pdf
Jiwanram Sheoduttrai Industries Private Limited,Long Term/ Short Term Bank Facilities,IVR C-/IVR A4; (INC)(Reaffirmed),Negative/-,Rs. 15.00 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-jiwanram-sheoduttrai-15sep25.pdf
Jiwanram Sheoduttrai Industries Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),Nil,Rs. 1.25 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-jiwanram-sheoduttrai-15sep25.pdf
Kanoria Energy and Infrastructure Limited (erstwhile A Infrastructure Limited),Long Term Bank Facilities,IVR BBB- (Reaffirmed),Negative,Rs. 99.99 Cr. (Reduced from Rs. 106.19 Crore),"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-kanoria-energy-15sep25.pdf
Kanoria Energy and Infrastructure Limited (erstwhile A Infrastructure Limited),Short Term Bank Facilities,IVR A3 (Reaffirmed),Nil,Rs. 30.00 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-kanoria-energy-15sep25.pdf
Khaitan Winding Wire Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),Negative,Rs. 44.29 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-khaitan-winding-15sep25.pdf
Khaitan Winding Wire Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),Nil,Rs. 13.00 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-khaitan-winding-15sep25.pdf
Marathon Realty Private Limited,Long Term Facilities - Term Loan (LRD),IVR BBB (Upgraded),Stable,Rs. 355.00 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-marathon-realty-15sep25.pdf
Marathon Realty Private Limited,Long Term Facilities - Term Loans,IVR BBB (Assigned),Stable,Rs. 150.00 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-marathon-realty-15sep25.pdf
Shree Pandurang Sahakari Sakhar karkhana Limited,Long Term Bank Facilities - Term Loan,IVR BBB- (Upgraded),Stable,Rs. 165.86 Cr. (Reduced from Rs. 200.72 Crore),"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-shree-pandurang-15sep25.pdf
Shree Pandurang Sahakari Sakhar karkhana Limited,Long Term Bank Facilities - Sugar Hypothecation,IVR BBB- (Assigned),Stable,Rs. 41.49 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-shree-pandurang-15sep25.pdf
Shree Pandurang Sahakari Sakhar karkhana Limited,Short Term Bank Facilities - Sugar Pledge,IVR A3 (Upgraded),Nil,Rs. 275.00 Cr. (Enhanced from Rs. 200 Crore),"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-shree-pandurang-15sep25.pdf
Sona Beverages Private Limited (SBPL),Long Term Bank Facilities,IVR BBB (Upgraded and Withdrawn),Stable,Rs. 88.76 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-sona-beverages-15sep25.pdf
Spar Agrotech Farmer Producer Company Limited,Long Term Bank Facilities,IVR BB- (Assigned),Stable,Rs. 50.00 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-spar-agrotech-15sep25.pdf
Spar Agrotech Farmer Producer Company Limited,Short Term Bank Facilities,IVR A4 (Assigned),Nil,Rs. 2.00 Cr.,"Sep 15, 2025",https://www.infomerics.com/admin/uploads/pr-spar-agrotech-15sep25.pdf
Ahar Foods and Fats Private Limited,Long Term Bank Facilities,IVR BB (Reaffirmed and Withdrawn),Stable,Rs. 39.62 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-aharfoods-12sep25.pdf
Ahar Foods and Fats Private Limited,Short Term Bank Facilities,IVR A4 (Reaffirmed and Withdrawn),Nil,Rs. 12.88 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-aharfoods-12sep25.pdf
Ankur Biochem Private Limited,Long Term Bank Facilities,IVR BBB+ (Upgraded and Withdrawn),Stable,Rs. 413.08 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-ankur-biochem-12sept25.pdf
Ankur Biochem Private Limited,Long Term/ Short Term Bank Facilities,IVR BBB+/IVR A2; (Upgraded and Withdrawn),Stable/-,Rs. 30.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-ankur-biochem-12sept25.pdf
Bhairaveshwara Cool Point Private Limited,Long Term Bank Facilities - LRD Facility,IVR D (Downgraded),Nil,Rs. 44.46 Cr. (Reduced from Rs. 46.00 Crore),"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-bhairaveshwara-cool-12sep25.pdf
BLN Infra Private Limited,Long Term Bank Facilities,IVR BB- (Assigned),Stable,Rs. 19.72 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-BLN-infra-12sep25.pdf
BLN Infra Private Limited,Short Term Bank Facilities,IVR A4 (Assigned),Nil,Rs. 3.26 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-BLN-infra-12sep25.pdf
IGREL Mahidad Limited,Long Term Bank Facilities,IVR A- (Reaffirmed),Stable,Rs. 125.00 Cr.,"Sep 22, 2025",https://www.infomerics.com/admin/uploads/Pr-IGREL-Mahidad-22sept25.pdf
IGREL Mahidad Limited,Long Term Bank Facilities - Proposed,IVR A- (Reaffirmed),Stable,Rs. 35.00 Cr.,"Sep 22, 2025",https://www.infomerics.com/admin/uploads/Pr-IGREL-Mahidad-22sept25.pdf
IGREL Mahidad Limited,Long Term Bank Facilities,IVR A- (Assigned),Stable,Rs. 192.02 Cr.,"Sep 22, 2025",https://www.infomerics.com/admin/uploads/Pr-IGREL-Mahidad-22sept25.pdf
IGREL Mahidad Limited,Long Term Bank Facilities,IVR A- (Assigned),Stable,Rs. 125.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-IGREL-mahidad-12sep25.pdf
IGREL Mahidad Limited,Long Term Bank Facilities - Proposed,IVR A- (Assigned),Stable,Rs. 35.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-IGREL-mahidad-12sep25.pdf
Jijau Constructions Road Builder Private Limited,Long Term Bank Facilities,IVR BBB- (Upgraded),Stable,Rs. 12.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-jijau-constructions-12sep25.pdf
Jijau Constructions Road Builder Private Limited,Short Term Bank Facility,IVR A3 (Upgraded),Nil,Rs. 58.00 Cr. (includes proposed limit of Rs. 30.90 Crore),"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-jijau-constructions-12sep25.pdf
Lahoty Buildcon Limited,Long Term Bank Facilities,IVR BBB- (Downgraded),Stable,Rs. 21.05 Cr. (Reduced from Rs. 21.65 Crore),"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-lahoty-buildcon-12sep25.pdf
Lahoty Buildcon Limited,Short Term Bank Facilities,IVR A3 (Downgraded),Nil,Rs. 210.50 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-lahoty-buildcon-12sep25.pdf
Magadh Metal Industries Private Limited,Long Term Bank Facilities (enhanced from Rs. 150.00 Crore),IVR BBB- (Reaffirmed),Stable,Rs. 185.00 Cr.,"Sep 24, 2025",https://www.infomerics.com/admin/uploads/pr-magadh-metal-24sep25.pdf
Magadh Metal Industries Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 150.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-magadh-metal-12sep25.pdf
Ornate Mercantile Private Limited,Long Term Bank Facility,IVR BBB- (Reaffirmed),Stable,Rs. 30.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-ornate-mercantile-12sep25.pdf
Ornate Mercantile Private Limited,Short Term Bank Facility,IVR A3 (Reaffirmed),Nil,Rs. 10.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-ornate-mercantile-12sep25.pdf
SA Trading Company,Long Term Bank Facilities,IVR BB- (Reaffirmed),Stable,Rs. 19.00 Cr.,"Sep 12, 2025",https://www.infomerics.com/admin/uploads/pr-SA-Trading-12sep25.pdf
